MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
5,5,65.0,8450,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,14,14,1,196.0,1,4,2,1,2,4,2,706,6,0,150,856,1,0,1,4,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,3,1,2003.0,2,2,548,5,5,2,0,61,0,0,0,0,4,4,5,0,2,2008,0,4,208500
0,5,80.0,9600,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,0.0,2,4,1,1,2,1,0,978,6,0,284,1262,1,0,1,4,1262,0,0,1262,0,1,2,0,3,1,2,6,0,1,5,1,1976.0,2,2,460,5,5,2,298,0,0,0,0,0,4,4,5,0,5,2007,0,4,181500
5,5,68.0,11250,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,14,14,1,162.0,1,4,2,1,2,2,2,486,6,0,434,920,1,0,1,4,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,5,1,2001.0,2,2,608,5,5,2,0,42,0,0,0,0,4,4,5,0,9,2008,0,4,223500
6,5,60.0,9550,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,15,16,3,0.0,2,4,0,2,1,4,0,216,6,0,540,756,1,2,1,4,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,2,5,1998.0,3,3,642,5,5,2,0,35,272,0,0,0,4,4,5,0,2,2006,0,0,140000
5,5,84.0,14260,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,14,14,1,350.0,1,4,2,1,2,0,2,655,6,0,490,1145,1,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,1,9,0,1,5,1,2000.0,2,3,836,5,5,2,192,84,0,0,0,0,4,4,5,0,12,2008,0,4,250000
4,5,85.0,14115,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,14,14,3,0.0,2,4,5,1,2,4,2,732,6,0,64,796,1,0,1,4,796,566,0,1362,1,0,1,1,1,1,2,5,0,0,3,1,1993.0,3,2,480,5,5,2,40,30,0,320,0,0,4,2,3,700,10,2009,0,4,143000
0,5,75.0,10084,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,14,14,4,186.0,1,4,2,0,2,0,2,1369,6,0,317,1686,1,0,1,4,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,2,1,2004.0,2,2,636,5,5,2,255,57,0,0,0,0,4,4,5,0,8,2007,0,4,307000
5,5,70.04995836802665,10382,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,4,240.0,2,4,1,1,2,2,0,859,1,32,216,1107,1,0,1,4,1107,983,0,2090,1,0,2,1,3,1,2,7,0,2,5,1,1973.0,2,2,484,5,5,2,235,204,228,0,0,0,4,4,3,350,11,2009,0,4,200000
4,7,51.0,6120,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,16,3,0.0,2,4,0,2,2,4,6,0,6,0,952,952,1,2,1,1,1022,752,0,1774,0,0,2,0,2,2,2,8,1,2,5,5,1931.0,3,2,468,1,5,2,90,0,205,0,0,0,4,4,5,0,4,2008,0,0,129900
15,5,50.0,7420,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,0.0,2,4,0,2,2,4,2,851,6,0,140,991,1,0,1,4,1077,0,0,1077,1,0,1,0,2,2,2,5,0,2,5,1,1939.0,2,1,205,2,5,2,0,4,0,0,0,0,4,4,5,0,1,2008,0,4,118000
